Rk,Player,Age,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK
1,Jimmy Butler,33,5,5,186,71,119,12,27,34,48,9,21,30,24,9,2,12,8,188,0.597,0.444,0.708,37.2,37.6,6,4.8,1.8,0.4
2,Bam Adebayo,25,5,5,158,37,80,0,1,13,16,11,32,43,25,8,3,17,18,87,0.463,0,0.813,31.5,17.4,8.6,5,1.6,0.6
3,Gabe Vincent,26,5,5,143,25,59,14,33,1,3,2,3,5,25,3,0,12,14,65,0.424,0.424,0.333,28.5,13,1,5,0.6,0
4,Caleb Martin,27,5,0,133,19,30,7,16,11,13,4,23,27,10,5,0,5,11,56,0.633,0.438,0.846,26.6,11.2,5.4,2,1,0
5,Kevin Love,34,5,3,109,14,34,13,30,8,8,2,35,37,7,3,5,1,12,49,0.412,0.433,1,21.7,9.8,7.4,1.4,0.6,1
6,Duncan Robinson,28,5,1,101,17,26,14,19,1,1,0,14,14,7,1,0,6,4,49,0.654,0.737,1,20.2,9.8,2.8,1.4,0.2,0
7,Kyle Lowry,36,5,0,106,15,33,5,14,3,3,1,10,11,16,4,2,10,12,38,0.455,0.357,1,21.3,7.6,2.2,3.2,0.8,0.4
8,Max Strus,26,5,5,148,11,24,7,17,3,4,4,14,18,3,3,2,3,11,32,0.458,0.412,0.75,29.6,6.4,3.6,0.6,0.6,0.4
9,Victor Oladipo,30,2,0,45,10,19,2,5,1,3,1,6,7,2,2,1,2,5,23,0.526,0.4,0.333,22.7,11.5,3.5,1,1,0.5
10,Tyler Herro,23,1,1,19,5,9,2,4,0,0,0,2,2,2,0,1,1,1,12,0.556,0.5,0,19.5,12,2,2,0,1
11,Haywood Highsmith,26,4,0,34,4,8,1,4,2,2,1,5,6,1,5,1,0,4,11,0.5,0.25,1,8.4,2.8,1.5,0.3,1.3,0.3
12,Cody Zeller,30,4,0,37,5,6,0,0,0,2,2,10,12,3,1,0,2,2,10,0.833,0,0,9.3,2.5,3,0.8,0.3,0
13,Udonis Haslem,42,1,0,2,0,2,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2.5,0,1,0,0,0
14,Omer Yurtseven,24,1,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3.4,0,0,1,0,0