Rk,Player,Age,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,Rk,STL,,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK
1,Khris Middleton,31,5,5,173,40,86,13,32,26,30,7,25,32,31,3,0,17,15,119,0.465,0.406,0.867,34.6,23.8,6.4,6.2,0.6,0
2,Brook Lopez,34,5,5,182,39,67,7,17,10,13,14,18,32,6,7,9,11,10,95,0.582,0.412,0.769,36.3,19,6.4,1.2,1.4,1.8
3,Jrue Holiday,32,5,5,191,34,85,12,42,9,13,4,29,33,40,5,2,12,12,89,0.4,0.286,0.692,38.1,17.8,6.6,8,1,0.4
4,Giannis Antetokounmpo,28,3,3,91,28,53,0,3,14,31,8,25,33,16,1,2,14,9,70,0.528,0,0.452,30.5,23.3,11,5.3,0.3,0.7
5,Grayson Allen,27,5,5,149,19,41,14,29,6,7,1,11,12,9,2,0,4,7,58,0.463,0.483,0.857,29.9,11.6,2.4,1.8,0.4,0
6,Pat Connaughton,30,4,0,88,17,30,11,23,3,4,4,16,20,7,4,1,2,10,48,0.567,0.478,0.75,22.1,12,5,1.8,1,0.3
7,Bobby Portis,27,5,2,107,20,41,5,18,3,3,10,31,41,6,3,2,4,15,48,0.488,0.278,1,21.5,9.6,8.2,1.2,0.6,0.4
8,Joe Ingles,35,5,0,89,12,23,10,20,0,0,1,5,6,10,3,1,6,7,34,0.522,0.5,0,17.8,6.8,1.2,2,0.6,0.2
9,Wesley Matthews,36,2,0,41,4,9,4,7,0,0,1,2,3,1,2,1,0,3,12,0.444,0.571,0,20.6,6,1.5,0.5,1,0.5
10,Jae Crowder,32,4,0,41,3,13,0,6,1,2,1,3,4,3,2,0,1,5,7,0.231,0,0.5,10.2,1.8,1,0.8,0.5,0
11,MarJon Beauchamp,22,2,0,5,2,3,1,1,0,0,0,1,1,0,0,0,0,0,5,0.667,1,0,2.6,2.5,0.5,0,0,0
12,Jevon Carter,27,4,0,49,2,9,1,7,0,0,0,4,4,4,1,0,0,1,5,0.222,0.143,0,12.3,1.3,1,1,0.3,0
13,Goran DragiÄ‡,36,2,0,7,0,2,0,1,4,4,0,0,0,1,0,0,0,0,4,0,0,1,3.6,2,0,0.5,0,0
14,Thanasis Antetokounmpo,30,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6,0,0,0,0,0
15,Meyers Leonard,30,2,0,5,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2.6,0,0.5,0,0,0